id_interaction,id_lead,type_action,timestamp,canal_interaction,duree_secondes,page_url,note_qualite
INT_00022332,LEAD_0023985,"purchase",386703,"email","7444","monsite.fr/landing","1"
INT_00022333,LEAD_0018055,"clic",999286,"web","9042","https://www.MonSite.fr/contact","5"
INT_00022334,LEAD_0015818,"view",,"MOBILE","262","https://www.monsite.fr/produits","1"
INT_00022335,LEAD_0002495,"vue",261429,"","-167","","2"
INT_00022336,LEAD_0018296,"VUE",02/03/2026,"Web","351","https://www.monsite.fr/accueil","moyen"
INT_00022337,LEAD_0013905,"clic",1727003429,"","","https://www.monsite.fr/produits/",""
INT_00022338,LEAD_0020412,"purchase",,"APP","197","https://www.monsite.fr/produits/","2"
INT_00022339,LEAD_0003428,"VUE",1685138460,"chat","383","","6"
INT_00022340,LEAD_0012548,"clic",2024-09-14T08:18:57.641Z,"app","248","https://www.MonSite.fr/contact","0"
INT_00022341,LEAD_0025773,"vue",2023-07-26T11:16:22.820Z,"N/A","388","HTTP://www.monsite.fr/blog","2"
INT_00022342,LEAD_0025706,"purchase",,"CHAT","0","https://www.MonSite.fr/contact","2.6"
INT_00022343,LEAD_0002926,"clic",,"PUSH","542","monsite.fr/landing",""
INT_00022344,LEAD_0013979,"click",1713251917794,"App","300s","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","1.4"
INT_00022345,LEAD_0023801,"clic",1718808618,"","10 min","",""
INT_00022346,LEAD_0000736,"clic",1708015074,"Mobile","3 min","","4"
INT_00022347,LEAD_0028529,"VUE",,"WEB","8467","https://www.monsite.fr/accueil",""
INT_00009966,LEAD_0006472,"vue",,"email","250.94","/accueil",""
INT_00022348,LEAD_0018723,"CLIC",1702359756,"app","179","https://www.MonSite.fr/contact","-2"
INT_00022349,LEAD_0027853,"achat",643493,"MOBILE","","HTTP://www.monsite.fr/blog","5"
INT_00022350,LEAD_0009617,"vue",1680999666,"mobile","0","","0"
INT_00022351,LEAD_0009417,"vue",2025-01-05T04:51:37.959Z,"PUSH","309","https://www.MonSite.fr/contact","0"
INT_00022352,LEAD_0022476,"clic",153254,"CHAT","325.57","https://www.monsite.fr/PRODUITS","4"
INT_00022353,LEAD_0024770,"Achat",1752421731,"push","118","","4"
INT_00022354,LEAD_0017828,"clic",1753134530,"WEB","295","","1.2"
INT_00022355,LEAD_0001468,"click",,"MOBILE","98","HTTP://www.monsite.fr/blog","2"
INT_00022356,LEAD_0019207,"purchase",29/07/2025,"push_notification","","https://www.monsite.fr/produits","3.4"
INT_00022357,LEAD_0020124,"vue",27/11/2025,"push_notification","147","https://www.monsite.fr/produits/","4"
INT_00022358,LEAD_0029193,"VUE",17/04/2024,"chat","0","","5"
INT_00022359,LEAD_0028486,"purchase",1752900919858,"WEB","265","",""
INT_00022360,LEAD_0021237,"VUE",1720550097399,"Mobile","538","/accueil","2"
INT_00022361,LEAD_0008149,"view",1700311005,"PUSH","356","/accueil","4"
INT_00022362,LEAD_0003048,"vue",339079,"email","245","monsite.fr/landing","3"
INT_00022363,LEAD_0020932,"vue",2026-01-30T23:27:26.691Z,"Mail","464"," https://www.monsite.fr/accueil ","0"
INT_00022364,LEAD_0028525,"VUE",2023-04-13T23:14:01.890Z,"sms","4365","https://www.MonSite.fr/contact",""
INT_00008205,LEAD_0021119,"vue",2024-12-15T04:40:36.520Z,"Chat","-295","www.monsite.fr/promo","5"
INT_00022365,LEAD_0024149,"view",2023-11-05 00:22:21.377," web ","7515","https://www.monsite.fr/accueil",""
INT_00022366,LEAD_0003820,"vue",2025-04-10T14:37:15.549Z,"mail","242s","https://www.monsite.fr/produits/","2"
INT_00022367,LEAD_0029167,"clic",2023-03-19 05:24:43.628,"Push","N/A"," https://www.monsite.fr/accueil ","4.6"
INT_00022368,LEAD_0022930,"clic",2025-03-22 13:13:17.931," web ","164","","-3"
INT_00022369,LEAD_0002486,"CLIC",1766086812310,"","342","https://www.monsite.fr/accueil",""
INT_00022370,LEAD_0015498,"achat",2024-02-17 16:14:42.409,"Push","","https://www.monsite.fr/produits/","0"
INT_00022371,LEAD_0006341,"view",1738641505,"Chat","402","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","1"
INT_00022372,LEAD_0015480,"clic",1685216946," web ","161.14","https://www.monsite.fr/PRODUITS","N/A"
INT_00022373,LEAD_0028375,"view",2024-04-28T22:45:50.083Z,"App","399","https://www.monsite.fr/accueil","N/A"
INT_00022374,LEAD_0027674,"clic",1696202985032,"","N/A"," https://www.monsite.fr/accueil ","2"
INT_00022375,LEAD_0002667,"clic",2025-05-12 16:10:44.522,"Email","N/A","/accueil","2"
INT_00022376,LEAD_0000778,"vue",2023-03-17T23:38:42.783Z," mobile ","","https://www.MonSite.fr/contact","5"
INT_00022377,LEAD_0003593,"",2024-01-18 23:33:02.586,"Mail","332","www.monsite.fr/promo","3"
INT_00022378,LEAD_0011654,"clic",2025-06-29T14:44:30.492Z," web ","76","",""
INT_00022379,LEAD_0012422,"view",05/08/2024,"app","350","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","N/A"
INT_00022380,LEAD_0023802,"click",2025-12-13 15:01:52.220,"WEB","551","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","4"
INT_00022381,LEAD_0015110,"CLIC",2023-12-12T19:58:25.996Z,"app","500","https://www.monsite.fr/produits","2"
INT_00022382,LEAD_0020255,"",1722717124,"","263.60","","3"
INT_00022383,LEAD_0018277,"clic",1699305264,"mobile","352","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","3.2"
INT_00022384,LEAD_0003591,"clic",1748638440,"Mobile","","HTTP://www.monsite.fr/blog","moyen"
INT_00022385,LEAD_0010496,"VUE",1720946708916,"CHAT","94"," https://www.monsite.fr/accueil ",""
INT_00022386,LEAD_0012960,"vue",,"EMAIL","132.41"," https://www.monsite.fr/accueil ","3"
INT_00022387,LEAD_0000479,"view",1761549359,"Email","369","www.monsite.fr/promo","1.4"
INT_00022388,LEAD_0011034,"",1753687453,"mobile","3617","monsite.fr/landing","1.8"
INT_00022389,LEAD_0009719,"click",1687736556,"","8 min","HTTP://www.monsite.fr/blog",""
INT_00022390,LEAD_0008513,"achat",1679961074,"Live Chat","0","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00022391,LEAD_0009867,"VUE",2024-12-25T11:03:14.125Z,"SMS","200","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","2.7"
INT_00022392,LEAD_0018006,"clic",1725569918712,"SMS","59","monsite.fr/landing","2"
INT_00022393,LEAD_0027443,"vue",09/10/2024,"","391s","https://www.MonSite.fr/contact","3"
INT_00022394,LEAD_0026634,"click",2024-08-08 12:33:17.573,"","398"," https://www.monsite.fr/accueil ","2.1"
INT_00022395,LEAD_0010543,"click",2023-06-27 05:39:47.359,"chat","N/A","",""
INT_00022396,LEAD_0022326,"click",2024-09-20 13:03:18.909,"EMAIL","580"," https://www.monsite.fr/accueil ","5"
INT_00022397,LEAD_0027148,"",11/07/2024,"Push","N/A","www.monsite.fr/promo","3"
INT_00022398,LEAD_0004796,"",20/06/2025,"WEB","527.38","/accueil","4.3"
INT_00022399,LEAD_0016105,"achat",1695465620031,"","497","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00022400,LEAD_0003768,"vue",2026-01-19 20:09:16.909,"WEB","71","https://www.monsite.fr/produits","4"
INT_00022401,LEAD_0004470,"",2025-04-08T20:01:56.089Z,"Web","4 min"," https://www.monsite.fr/accueil ","2"
INT_00022402,LEAD_0025906,"click",1727352115,"Mobile","460","","4"
INT_00022403,LEAD_0028456,"clic",2024-11-07T13:55:46.320Z," web ","537","","1"
INT_00022404,LEAD_0006049,"Achat",2025-10-01 22:45:49.402,"chat","421","www.monsite.fr/promo","9"
INT_00022405,LEAD_0027229,"view",1753079149123,"Chat","242","https://www.monsite.fr/accueil","3"
INT_00022406,LEAD_0018096,"clic",1747750224632,"N/A","508","https://www.MonSite.fr/contact","1"
INT_00022407,LEAD_0013997,"vue",1681527890,"Mobile","9 min","HTTP://www.monsite.fr/blog","4"
INT_00022408,LEAD_0021567,"click",2025-11-11T07:07:47.075Z,"PUSH","18.29","https://www.monsite.fr/produits","N/A"
INT_00022409,LEAD_0012427,"click",1721530071,"push","69","https://www.MonSite.fr/contact","5"
INT_00022410,LEAD_0000867,"view",1752446626,"Web","29","https://www.monsite.fr/PRODUITS",""
INT_00022411,LEAD_0024139,"clic",2024-04-13 19:14:18.848,"","338","https://www.monsite.fr/produits","3"
INT_00022412,LEAD_0028234,"",834429,"WEB","108","https://www.monsite.fr/PRODUITS","7"
INT_00022413,LEAD_0027356,"clic",2026-02-06T15:38:54.255Z,"email","","",""
INT_00022414,LEAD_0004299,"clic",31/05/2025,"Email","108","https://www.monsite.fr/PRODUITS","2"
INT_00022415,LEAD_ORPHAN_92609,"clic",1752433967,"MOBILE","0","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","0"
INT_00022416,LEAD_0001190,"",1715908621361,"","","HTTP://www.monsite.fr/blog","4"
INT_00022417,LEAD_0012416,"view",1758421491," mobile ","91","monsite.fr/landing","0"
INT_00022418,LEAD_0026590,"clic",25/12/2025,"email","5","https://www.monsite.fr/produits/","3"
INT_00022419,LEAD_0014242,"vue",26/12/2025,"MOBILE","464","monsite.fr/landing","3"
INT_00022420,LEAD_0026886,"",1706208369,"Web","N/A","","1"
INT_00022421,LEAD_0029726,"CLIC",2023-07-04T03:56:20.115Z,"EMAIL","361","https://www.monsite.fr/PRODUITS","1"
INT_00022422,LEAD_0018927,"vue",05/03/2026,"SMS","-131","","5"
INT_00022423,LEAD_0008933,"VUE",2023-06-12 14:09:02.280,"EMAIL","448","www.monsite.fr/promo","bon"
INT_00022424,LEAD_0020056,"clic",1720287637,"APP","54","/accueil","3"
INT_00022425,LEAD_0020575,"vue",1684461617419,"APP","419","","2"
INT_00022426,LEAD_0023291,"CLIC",1751546951,"Email","N/A","HTTP://www.monsite.fr/blog",""
INT_00022427,LEAD_0009427,"achat",2023-10-15T05:18:09.118Z,"","98s","HTTP://www.monsite.fr/blog","2"
INT_00022428,LEAD_0007288,"Achat",1687286463,"Web","564","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","1"
INT_00022429,LEAD_0001605,"click",2024-07-21T07:36:46.548Z,"APP","N/A","","N/A"
INT_00022430,LEAD_ORPHAN_93810,"clic",1750230431849,"CHAT","266","https://www.MonSite.fr/contact","4"
INT_00022431,LEAD_0009164,"vue",2026-01-20 23:41:46.294,"Push","222","https://www.MonSite.fr/contact","2"
INT_00022432,LEAD_0000963,"VUE",391322,"app","214","https://www.monsite.fr/PRODUITS","1.2"
INT_00022433,LEAD_0009138,"Achat",,"PUSH","93s","https://www.monsite.fr/produits/",""
INT_00022434,LEAD_0028296,"purchase",2025-06-22T07:25:24.803Z,"","105","https://www.MonSite.fr/contact","4"
INT_00022435,LEAD_0027147,"",1748830091,"Push","269.96","https://www.monsite.fr/produits/","N/A"
INT_00022436,LEAD_0000497,"VUE",1745760848494,"sms","106","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00022437,LEAD_ORPHAN_96387,"clic",1701557916,"chat","","https://www.monsite.fr/PRODUITS","0"
INT_00022438,LEAD_0020437,"clic",2023-12-22T14:10:11.512Z,"App","202","/accueil","4"
INT_00022439,LEAD_0008273,"Achat",962491," mobile ","7 min","https://www.MonSite.fr/contact","9"
INT_00022440,LEAD_0004873,"clic",721004,"push_notification","0","","2"
INT_00022441,LEAD_0004677,"vue",1691088214011,"","583","https://www.monsite.fr/PRODUITS",""
INT_00022442,LEAD_0012011,"vue",2024-08-30 05:20:23.111,"chat","9689","","3"
INT_00022443,LEAD_0007960,"purchase",2024-10-17 00:12:06.397," web ","","https://www.MonSite.fr/contact","3"
INT_00022444,LEAD_0024232,"clic",1706375954,"","","https://www.monsite.fr/accueil","5"
INT_00022445,LEAD_0002758,"CLIC",1737578299,"PUSH","2 min","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00022446,LEAD_0028195,"click",2024-04-20 07:58:41.726,"sms","334","",""
INT_00022447,LEAD_0012812,"vue",2024-07-30T18:33:46.533Z,"WEB","491","https://www.monsite.fr/accueil","2"
INT_00022448,LEAD_0008369,"clic",2025-09-19 22:49:27.491,"Email","192","www.monsite.fr/promo","5"
INT_00022449,LEAD_0001209,"",,"","N/A","/accueil","2"
INT_00022450,LEAD_0001382,"clic",23/05/2024,"MOBILE","9744","HTTP://www.monsite.fr/blog","1.9"
INT_00022451,LEAD_0022041,"vue",2025-01-09T04:04:22.195Z,"Email","442.75","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00022452,LEAD_0027346,"clic",2025-11-23 09:35:35.327,"","498","monsite.fr/landing","3.1"
INT_00022453,LEAD_0006945,"VUE",479018,"EMAIL","170"," https://www.monsite.fr/accueil ",""
INT_00022454,LEAD_0025727,"purchase",1755198131,"Push","418","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00022455,LEAD_ORPHAN_93867,"click",,"live_chat","473.50","https://www.monsite.fr/accueil","1.2"
INT_00022456,LEAD_0011153,"vue",1712554620,"EMAIL","74","","N/A"
INT_00000806,LEAD_0009688,"CLIC",26/02/2025,"mobile","82"," https://www.monsite.fr/accueil ","1.3"
INT_00022457,LEAD_0018801,"click",24/01/2025,"Mail","76","https://www.MonSite.fr/contact",""
INT_00022458,LEAD_ORPHAN_95186,"vue",2026-02-07T22:38:27.452Z,"mail","261","monsite.fr/landing",""
INT_00022459,LEAD_0009138,"purchase",1714232884,"","42.24","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","mauvais"
INT_00022460,LEAD_0009991,"vue",1695911177,"Mail","522","","1"
INT_00022461,LEAD_0014656,"",1706360517,"Mail","-19","https://www.monsite.fr/produits","2"
INT_00022462,LEAD_0003629,"clic",1740358324554,"","-280","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00022463,LEAD_0013681,"achat",2023-09-26T06:15:11.637Z,"Chat","156","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","moyen"
INT_00022464,LEAD_0026506,"vue",1696659656,"N/A","579","HTTP://www.monsite.fr/blog","3"
INT_00022465,LEAD_0019596,"Achat",2025-09-13 00:05:00.990,"mobile","485","",""
INT_00022466,LEAD_0023855,"clic",1683565115849,"Mail","-244","HTTP://www.monsite.fr/blog",""
INT_00022467,LEAD_0020053,"",2025-07-31T17:55:55.677Z,"App","567","https://www.monsite.fr/PRODUITS",""
INT_00022468,LEAD_0005952,"click",1685004205,"Web","440.54","www.monsite.fr/promo",""
INT_00022469,LEAD_0005002,"",1707452409,"Chat",""," https://www.monsite.fr/accueil ","1.3"
INT_00022470,LEAD_0015933,"purchase",1745713229441,"EMAIL","477s","https://www.monsite.fr/produits/","1"
INT_00022471,LEAD_0018255,"clic",2023-10-04T12:21:58.194Z,"MOBILE","397","https://www.monsite.fr/produits/","mauvais"
INT_00001574,LEAD_0026469,"Achat",1685879364,"web","152.32","https://www.monsite.fr/produits/","5"
INT_00000681,LEAD_0024288,"",2023-07-07T01:04:45.610Z,"PUSH","9520","https://www.monsite.fr/accueil","1.8"
INT_00022472,LEAD_0012751,"clic",1766890189,"Mail","385","https://www.monsite.fr/PRODUITS","3"
INT_00022473,LEAD_0005982,"CLIC",2024-11-29T10:53:32.291Z,"Mobile","2574","HTTP://www.monsite.fr/blog",""
INT_00022474,LEAD_0007621,"",1723903130,"sms","69","/accueil","4"
INT_00022475,LEAD_0008277,"clic",1741597405561,"EMAIL","146s","monsite.fr/landing","3"
INT_00022476,LEAD_0018447,"clic",1758767009,"sms","294","","1"
INT_00022477,LEAD_0007770,"vue",1688329461,"web","337","https://www.monsite.fr/produits","N/A"
INT_00022478,LEAD_0001344,"clic",2025-09-17T08:54:17.015Z,"APP","1 min","","bon"
INT_00022479,LEAD_0000759,"CLIC",1716129575,"Live Chat","224.13","https://www.monsite.fr/accueil","1"
INT_00022480,LEAD_0023711,"click",1749022080234,"","-140","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","3"
INT_00022481,LEAD_0020951,"vue",1688736646,"push","","https://www.monsite.fr/PRODUITS","5"
INT_00022482,LEAD_0027603,"Achat",1719800932,"CHAT","-219","https://www.monsite.fr/produits?ref=goog&utm_source=cpc",""
INT_00022483,LEAD_0011262,"",1715412094,"PUSH","0","/accueil","5"
INT_00022484,LEAD_0024697,"vue",2025-03-27 04:18:50.684,"push_notification","498.22","monsite.fr/landing","3"
INT_00022485,LEAD_0014302,"VUE",1695259972947,"MOBILE","524","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","2"
INT_00022486,LEAD_0014001,"view",06/07/2024,"mail","57","monsite.fr/landing","1"
INT_00022487,LEAD_0025137,"vue",2024-07-17 00:16:27.257,"Mail","582","monsite.fr/landing","1"
INT_00022488,LEAD_0016971,"purchase",2024-07-14T20:52:30.191Z,"app","","",""
INT_00022489,LEAD_0012309,"vue",2025-06-19T22:27:32.488Z,"MOBILE","N/A","https://www.MonSite.fr/contact","6"
INT_00022490,LEAD_0003311,"achat",1691951070,"sms","434s","","3"
INT_00022491,LEAD_0023671,"achat",2025-01-30T10:09:39.224Z,"mail","N/A","","4"
INT_00022492,LEAD_0006780,"clic",2025-09-08T23:28:04.148Z,"chat","339","https://www.monsite.fr/produits","N/A"
INT_00022493,LEAD_ORPHAN_93383,"Achat",1770674613123,"CHAT","277","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00022494,LEAD_0025498,"VUE",1694128668738,"Mobile",""," https://www.monsite.fr/accueil ","2"
INT_00022495,LEAD_0019059,"view",2026-02-12T20:38:25.254Z,"live_chat","","","-5"
INT_00022496,LEAD_0025029,"VUE",,"","412","https://www.monsite.fr/PRODUITS","1"
INT_00000604,LEAD_0012832,"view",11/02/2024,"Mail","N/A","/accueil","1.3"
INT_00022497,LEAD_0020405,"Achat",1724836969,"Email","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","0"
INT_00022498,LEAD_0004163,"view",1743477825,"Chat","9 min","https://www.monsite.fr/accueil","5"
INT_00022499,LEAD_0016726,"",1716029934,"","295","https://www.MonSite.fr/contact","0"
INT_00022500,LEAD_0011861,"achat",1764161592,"EMAIL","-138","https://www.monsite.fr/PRODUITS","4"
INT_00022501,LEAD_0016485,"vue",12/07/2024,"PUSH","376","https://www.monsite.fr/produits","-4"
INT_00022502,LEAD_0026268,"vue",2023-03-23 23:50:49.320,"APP","8772","https://www.monsite.fr/PRODUITS","4"
INT_00022503,LEAD_0006600,"clic",2025-08-20T23:26:30.159Z,"Web","0","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","3"
INT_00022504,LEAD_0007577,"clic",2023-05-17T00:27:16.142Z,"email","429"," https://www.monsite.fr/accueil ","bon"
INT_00022505,LEAD_0014938,"purchase",2023-09-25 02:28:02.685,"","596","https://www.monsite.fr/accueil","5"
INT_00022506,LEAD_0015593,"click",2025-08-17 08:35:48.653,"email","0","","3"
INT_00022507,LEAD_0003362,"view",1687305909,"mobile","","https://www.monsite.fr/accueil","N/A"
INT_00022508,LEAD_0000932,"",2024-10-18T11:09:31.747Z,"N/A","373","https://www.monsite.fr/produits","1"
INT_00022509,LEAD_0007580,"",1763592872113,"sms","","https://www.monsite.fr/produits/",""
INT_00022510,LEAD_0002952,"clic",2023-09-21T23:57:06.994Z,"Sms","228.89","","3"
INT_00022511,LEAD_0021188,"clic",1700505529,"","256.89","","1"
INT_00022512,LEAD_0003535,"view",2025-11-05 03:59:59.048,"push","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00022513,LEAD_0010745,"clic",2024-06-16T12:38:44.281Z,"CHAT","394","https://www.monsite.fr/produits","4/5"
INT_00022514,LEAD_0000911,"view",1697918946,"live_chat","","www.monsite.fr/promo","0"
INT_00022515,LEAD_0028953,"vue",1730862500,"","N/A","/accueil","4"
INT_00022516,LEAD_0015932,"click",2023-12-26 18:20:59.188,"","8 min","","N/A"
INT_00022517,LEAD_0002193,"clic",2025-12-14T03:53:20.048Z," web ","N/A","","2"
INT_00022518,LEAD_0006024,"purchase",2024-06-29 11:05:36.344,"Web","92","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00022519,LEAD_0014336,"",714902,"mobile","","www.monsite.fr/promo","3"
INT_00022520,LEAD_0018381,"vue",04/12/2023,"mobile","16","https://www.monsite.fr/accueil","1"
INT_00022521,LEAD_0017881,"Achat",1681180231,"Live Chat","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","8"
INT_00022522,LEAD_0014637,"clic",1715331976,"App","206","/accueil","3"
INT_00022523,LEAD_0008084,"clic",08/11/2023,"","-106","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00022524,LEAD_0008309,"clic",1769247549,"Web","223.41","/accueil","2.6"
INT_00022525,LEAD_0002118,"clic",1768272432,"Mail","551","","3.4"
INT_00022526,LEAD_0005654,"VUE",2025-10-02T02:11:52.605Z,"Push","-102","www.monsite.fr/promo","3"
INT_00022527,LEAD_0027300,"CLIC",2025-09-26 23:17:53.527,"MOBILE","422","HTTP://www.monsite.fr/blog","bon"
INT_00022528,LEAD_0007411,"VUE",1692050129083,"Mail","542","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00022529,LEAD_0012871,"vue",2025-11-11T18:00:36.319Z,"Live Chat","","https://www.MonSite.fr/contact","3"
INT_00022530,LEAD_0005277,"achat",1751107611,"Live Chat","590","monsite.fr/landing","1"
INT_00022531,LEAD_0013766,"vue",2025-01-05 01:51:46.860,"Mobile","246","","8"
INT_00022532,LEAD_0027968,"CLIC",2023-09-18T21:12:00.587Z," mobile ","322","https://www.monsite.fr/produits","0"
INT_00022533,LEAD_0012714,"achat",2024-12-11T02:58:14.458Z,"Mail","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","8"
INT_00022534,LEAD_0007744,"achat",2025-07-10T17:57:00.651Z,"app","","HTTP://www.monsite.fr/blog","1"
INT_00022535,LEAD_0014403,"clic",799229,"Live Chat","N/A","www.monsite.fr/promo",""
INT_00009115,LEAD_0023826,"click",668532,"N/A","240","https://www.monsite.fr/accueil","1"
INT_00022536,LEAD_0020951,"vue",1708804334,"EMAIL","330","/accueil","2"
INT_00022537,LEAD_0006442,"achat",1737934970020,"app","115","https://www.monsite.fr/PRODUITS","4/5"
INT_00022538,LEAD_0018634,"clic",1701373315,"Chat","0","monsite.fr/landing","3"
INT_00022539,LEAD_0015370,"vue",2026-02-27 21:06:38.890,"N/A","","monsite.fr/landing","2/5"
INT_00022540,LEAD_0010843,"",187450,"","N/A","monsite.fr/landing","-3"
INT_00022541,LEAD_0012688,"clic",20/01/2026,"App","0","https://www.monsite.fr/PRODUITS","4"
INT_00022542,LEAD_0014152,"click",162738,"chat","301.31","https://www.monsite.fr/produits/","4"
INT_00022543,LEAD_0013548,"vue",753932,"live_chat","50","/accueil","4"
INT_00022544,LEAD_0012464,"view",1718780842031," web ","268","https://www.monsite.fr/produits/","1"
INT_00022545,LEAD_0006553,"vue",2023-09-11 00:56:23.069,"PUSH","","https://www.monsite.fr/PRODUITS","-1"
INT_00022546,LEAD_0010600,"VUE",1680147767383,"Sms","N/A","https://www.MonSite.fr/contact","N/A"
INT_00022547,LEAD_0019266,"VUE",1754727406,"web","0","","N/A"
INT_00022548,LEAD_0001563,"purchase",506210,"PUSH","5664","www.monsite.fr/promo","1"
INT_00022549,LEAD_0011101,"CLIC",2025-07-17T05:37:35.683Z,"Push","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","0"
INT_00022550,LEAD_0006195,"vue",1736402752,"App","6","https://www.MonSite.fr/contact","7"
INT_00022551,LEAD_0025149,"clic",15/08/2024,"EMAIL","385","https://www.monsite.fr/produits","4"
INT_00022552,LEAD_0001416,"VUE",2024-12-26T14:39:11.206Z,"App","483","www.monsite.fr/promo","5"
INT_00022553,LEAD_0006008,"vue",1726271780090,"Chat","543","","9"
INT_00022554,LEAD_0004347,"VUE",2024-09-23T23:58:02.544Z,"Chat","337"," https://www.monsite.fr/accueil ","mauvais"
INT_00022555,LEAD_0009894,"vue",2025-11-03T06:35:56.463Z,"APP","4359","https://www.MonSite.fr/contact",""
INT_00022556,LEAD_0024862,"purchase",1707977009,"CHAT","-231","https://www.MonSite.fr/contact","2"
INT_00022557,LEAD_0020663,"",1709188663,"Web","","monsite.fr/landing","bon"
INT_00022558,LEAD_0013196,"VUE",2023-05-07 03:36:53.780,"app","2545","https://www.MonSite.fr/contact",""
INT_00022559,LEAD_0027588,"achat",1744788897,"N/A","-59","","4"
INT_00020839,LEAD_0029119,"",2024-04-05 21:50:23.800,"Web","","https://www.monsite.fr/accueil","1"
INT_00022560,LEAD_0025272,"vue",1718327652,"Chat","541","",""
INT_00022561,LEAD_0018909,"CLIC",1705211325667,"Sms","-120","https://www.monsite.fr/produits?ref=goog&utm_source=cpc",""
INT_00022562,LEAD_0023057,"Achat",2023-08-22 14:54:27.322,"Web","149.59","",""
INT_00022563,LEAD_0029199,"clic",,"Mobile","8526","www.monsite.fr/promo","4"
INT_00022564,LEAD_0016813,"CLIC",1730995596,"","308","","3"
INT_00022565,LEAD_0028792,"click",1690708039,"Live Chat","442","HTTP://www.monsite.fr/blog","1.7"
INT_00012798,LEAD_0013831,"VUE",2024-10-23T03:57:09.920Z,"app","","https://www.monsite.fr/PRODUITS","5"
INT_00022566,LEAD_ORPHAN_90674,"clic",07/03/2024,"CHAT","N/A","https://www.monsite.fr/PRODUITS","-5"
INT_00022567,LEAD_0024630,"purchase",1726090897,"SMS","93.62","","3"
INT_00022568,LEAD_0005480,"click",2024-12-02T11:51:30.131Z,"App","292","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00022569,LEAD_0010559,"achat",2024-08-17T22:10:40.770Z,"N/A","N/A","https://www.monsite.fr/produits/",""
INT_00022570,LEAD_0002180,"purchase",2024-08-02 17:15:31.892,"WEB","","https://www.MonSite.fr/contact","5"
INT_00022571,LEAD_0007124,"clic",1702572654,"live_chat","316","https://www.monsite.fr/produits/","1"
INT_00022572,LEAD_0025487,"",1767522378389,"WEB","448.28","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00022573,LEAD_0021785,"clic",1745032403,"chat","","https://www.monsite.fr/produits","3/5"
INT_00022574,LEAD_0028261,"",1754915502034,"","N/A","HTTP://www.monsite.fr/blog","3/5"
INT_00022575,LEAD_0012197,"",1741524695,"Push","5501","","N/A"
INT_00022576,LEAD_0025299,"view",2024-11-10 10:54:30.596,"mobile","253","www.monsite.fr/promo","2/5"
INT_00022577,LEAD_0028837,"achat",1759615767,"EMAIL","-109","/accueil","5"
INT_00022578,LEAD_0004092,"clic",,"Mobile","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00022579,LEAD_0000712,"vue",2025-04-05T08:02:46.141Z,"push_notification","N/A","https://www.monsite.fr/PRODUITS","-3"
INT_00022580,LEAD_0024803,"",10/07/2024,"sms","471","www.monsite.fr/promo","5"
INT_00022581,LEAD_0006225,"view",2024-12-14T21:38:36.325Z,"sms","-32","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00022582,LEAD_0020034,"clic",1761937387952,"Mail","122","","3"
INT_00022583,LEAD_0018936,"",1710028332,"mobile","488s","https://www.monsite.fr/accueil","7"
INT_00022584,LEAD_0024948,"VUE",1683872089641,"mail","0","monsite.fr/landing","3.0"
INT_00022585,LEAD_0016644,"vue",1716203986,"EMAIL","6419","https://www.monsite.fr/produits","-1"
INT_00022586,LEAD_0014249,"clic",1751937492,"App","","https://www.MonSite.fr/contact","2.6"
